Order_ID;Branch_Start;Start_Latitude;Start_Longitude;Branch_Drop;Pengirim;Penerima;Alamat Penerima;Weather_Condition;Vehicle_Type;Category;arrival_status;Quantity;Weight;Vehicle_Type_Assigned
sfpc015585430;Pasir Kaliki;-6.9162852;107.5981344;Kupang;Jose Taylor;Heidi Reilly;Cihampelas No.236, RT 9/RW 10;Sunny;cargo truck;Toys;Terlambat;2.0;11.7;cargo truck
xzrl716784548;Dago;-6.8750079;107.6159521;Bengkulu;James Whitney;Kristy Montoya;Dago No.326, RT 3/RW 8;Sunny;pick up truck;Toys;Terlambat;9.0;12.0;cargo truck
eibc335635387;Dago;-6.8750079;107.6159521;Surabaya;Julia Briggs;Paul Davis;Setiabudi No.100, RT 7/RW 8;Sunny;cargo truck;Toys;Tepat Waktu;2.0;4.8;pick up truck
oitk739579230;Cihampelas;-6.8989124;107.6043304;Batam;Thomas Howard;Jill Smith;Lembong No.859, RT 1/RW 1;Sunny;pick up truck;Cosmetics;Lebih Cepat Sampai;9.0;3.9;pick up truck
botn800344578;Riau;-6.9059201;107.6209624;Gresik;Adam Reynolds;George Torres;Jalan Braga No.741, RT 9/RW 5;Sunny;pick up truck;Grocery;Tepat Waktu;6.0;14.3;cargo truck
tqxi045146775;Dago;-6.8750079;107.6159521;Mataram;Samuel Adams;Barbara Roberts;Buah Batu No.582, RT 7/RW 1;Sunny;cargo truck;Books;Terlambat;10.0;1.8;pick up truck
kgap585195507;Setiabudi;-6.8689938;107.5934024;Binjai;James Duffy;Raymond Bennett;Jalan Braga No.103, RT 9/RW 7;Sunny;pick up truck;Cosmetics;Terlambat;9.0;1.5;pick up truck
jgze646200858;Ciwidey;-7.1027234;107.4641673;Gresik;Amanda Foster;Debra Salazar;Kebon Kawung No.207, RT 10/RW 7;Sunny;van;Snacks;Lebih Cepat Sampai;9.0;11.7;cargo truck
lqyq813452304;Buah Batu;-6.9658122;107.637866;Batam;Donna Little;Sara Hill;Buah Batu No.531, RT 10/RW 4;Sunny;cargo truck;Cosmetics;Lebih Cepat Sampai;7.0;6.4;van
fhco827148157;Pasir Kaliki;-6.9162852;107.5981344;Salatiga;John Walters;Amy Hodges;Lembong No.587, RT 6/RW 5;Sunny;cargo truck;Clothing;Tepat Waktu;7.0;4.9;pick up truck
ubcd783242087;Riau;-6.9059201;107.6209624;Pontianak;Carl Mendez;Katie Strickland;Ciwidey No.848, RT 2/RW 7;Sunny;van;Sports;Lebih Cepat Sampai;5.0;1.5;pick up truck
jiyc198145687;Dago;-6.8750079;107.6159521;Palu;Jesse Smith;Christopher Garcia;Setiabudi No.180, RT 9/RW 9;Sunny;pick up truck;Snacks;Terlambat;6.0;10.4;cargo truck
fkun064220230;Ciwidey;-7.1027234;107.4641673;Payakumbuh;Daniel Johnson;Cassandra Webster;Cihampelas No.474, RT 6/RW 9;Sunny;pick up truck;Books;Terlambat;5.0;14.4;cargo truck
vdsc242802639;Lembong;-6.9165602;107.610072;Padang;Nathan Mitchell;Wayne Soto;Lembong No.833, RT 9/RW 6;Sunny;pick up truck;Toys;Tepat Waktu;3.0;5.0;pick up truck
sdxs740704107;Dago;-6.8750079;107.6159521;Makassar;Joseph Cooper;Andrea Harvey;Lembong No.244, RT 3/RW 7;Sunny;cargo truck;Grocery;Tepat Waktu;8.0;9.0;van
hidy261467651;Riau;-6.9059201;107.6209624;Ambon;Cameron Buchanan;Benjamin Roberts;Jalan Braga No.53, RT 10/RW 8;Sunny;pick up truck;Cosmetics;Tepat Waktu;8.0;6.5;van
mzeb245970250;Kebon Kawung;-6.9123708;107.6016929;Surabaya;Joshua Tran;Jeff Shaw;Cihampelas No.559, RT 3/RW 7;Sunny;cargo truck;Sports;Tepat Waktu;1.0;7.5;van
ggxk185781605;Cihampelas;-6.8989124;107.6043304;Payakumbuh;Samantha Mayo;Melissa Young;Buah Batu No.894, RT 1/RW 8;Sunny;pick up truck;Clothing;Terlambat;2.0;3.7;pick up truck
hgvp189522861;Lembong;-6.9165602;107.610072;Medan;Sharon Mcdonald;Catherine Orr;Setiabudi No.137, RT 8/RW 8;Sunny;pick up truck;Shoes;Terlambat;6.0;11.1;cargo truck
mivz461407242;Setiabudi;-6.8689938;107.5934024;Solok;Janet Hansen;Amanda Smith;Dago No.688, RT 7/RW 3;Sunny;pick up truck;Books;Lebih Cepat Sampai;6.0;6.8;van
griq568538346;Cihampelas;-6.8989124;107.6043304;Payakumbuh;Danielle Anderson;Dr. Veronica Rodriguez PhD;Cihampelas No.94, RT 6/RW 1;Sunny;pick up truck;Home;Tepat Waktu;1.0;4.6;pick up truck
kbln393702128;Riau;-6.9059201;107.6209624;Salatiga;Debra Bowen;Jennifer Richard;Riau No.180, RT 6/RW 1;Sunny;pick up truck;Home;Tepat Waktu;1.0;10.3;cargo truck
axtz155758687;Buah Batu;-6.9658122;107.637866;Semarang;Brandon Barnes;Teresa Morris;Dago No.503, RT 4/RW 10;Sunny;pick up truck;Electronics;Lebih Cepat Sampai;3.0;1.2;pick up truck
yucd410527852;Buah Batu;-6.9658122;107.637866;Depok;Emily Parker;James Mitchell;Lembong No.914, RT 10/RW 8;Sunny;pick up truck;Toys;Tepat Waktu;5.0;4.0;pick up truck
mqhw773310802;Kebon Kawung;-6.9123708;107.6016929;Palu;Julie Costa;George Marshall;Riau No.830, RT 2/RW 9;Sunny;pick up truck;Toys;Lebih Cepat Sampai;1.0;4.3;pick up truck
jbvi392181477;Pasir Kaliki;-6.9162852;107.5981344;Tebing Tinggi;Nicolas Washington;Melissa Bond;Pasir Kaliki No.405, RT 9/RW 7;Sunny;pick up truck;Electronics;Terlambat;2.0;14.1;cargo truck
bvka348874203;Cihampelas;-6.8989124;107.6043304;Samarinda;Erica Murray;Victoria Davenport;Ciwidey No.860, RT 10/RW 10;Sunny;pick up truck;Clothing;Lebih Cepat Sampai;5.0;3.5;pick up truck
intd941914908;Dago;-6.8750079;107.6159521;Sidoarjo;Megan Armstrong;Kelly Higgins;Riau No.992, RT 1/RW 3;Sunny;pick up truck;Clothing;Lebih Cepat Sampai;2.0;3.6;pick up truck
cpvr765393098;Buah Batu;-6.9658122;107.637866;Jakarta;Luis Brady;Mason Kim;Riau No.848, RT 5/RW 2;Sunny;cargo truck;Sports;Tepat Waktu;1.0;13.9;cargo truck
jrzz070590798;Ciwidey;-7.1027234;107.4641673;South Tangerang;Kimberly Larson;Michael West;Buah Batu No.546, RT 8/RW 7;Sunny;cargo truck;Electronics;Lebih Cepat Sampai;3.0;4.0;pick up truck
essy604523183;Lembong;-6.9165602;107.610072;Cilegon;Pamela Ferguson;Sherry Thompson;Dago No.671, RT 4/RW 4;Sunny;pick up truck;Toys;Terlambat;8.0;6.9;van
fokf045562405;Cihampelas;-6.8989124;107.6043304;Jambi;Robert Smith;Elizabeth Mayer;Lembong No.247, RT 7/RW 5;Sunny;cargo truck;Grocery;Lebih Cepat Sampai;5.0;10.1;cargo truck
nrmz910220511;Riau;-6.9059201;107.6209624;Banjarbaru;Natasha Dillon;Catherine Williams;Buah Batu No.677, RT 4/RW 1;Sunny;pick up truck;Snacks;Lebih Cepat Sampai;8.0;9.6;van
oosb954281783;Setiabudi;-6.8689938;107.5934024;Cilegon;Scott Curtis;Christopher Smith;Riau No.643, RT 5/RW 4;Sunny;pick up truck;Grocery;Lebih Cepat Sampai;7.0;14.4;cargo truck
pqlj119874486;Riau;-6.9059201;107.6209624;Tebing Tinggi;Robert Elliott;Alyssa Brown;Ciwidey No.510, RT 1/RW 5;Sunny;pick up truck;Books;Tepat Waktu;6.0;5.0;pick up truck
hzir281026902;Cihampelas;-6.8989124;107.6043304;Solok;Alec Collins;Guy Key;Dago No.632, RT 8/RW 3;Sunny;cargo truck;Books;Tepat Waktu;6.0;2.7;pick up truck
lezb158488142;Buah Batu;-6.9658122;107.637866;Sawahlunto;Tyler Navarro;Lindsey Robertson;Cihampelas No.949, RT 6/RW 5;Sunny;cargo truck;Grocery;Terlambat;6.0;10.0;van
ozjz810226690;Jalan Braga;-6.9168925;107.6091723;Tanjung Pinang;Tiffany Wilson;Angela Mccarthy;Riau No.658, RT 6/RW 1;Sunny;pick up truck;Clothing;Tepat Waktu;5.0;12.5;cargo truck
hpap861728738;Jalan Braga;-6.9168925;107.6091723;Ternate;Debbie Collins;Thomas Hampton;Jalan Braga No.438, RT 10/RW 7;Sunny;pick up truck;Toys;Terlambat;6.0;7.3;van
qadk676361128;Dago;-6.8750079;107.6159521;Bandar Lampung;Robert Thomas;William Kim;Ciwidey No.818, RT 1/RW 1;Sunny;cargo truck;Grocery;Terlambat;10.0;8.2;van
scbx441036149;Buah Batu;-6.9658122;107.637866;South Tangerang;Eric Adams;Courtney Walker;Jalan Braga No.542, RT 9/RW 8;Sunny;pick up truck;Toys;Terlambat;3.0;10.3;cargo truck
mkva994791983;Ciwidey;-7.1027234;107.4641673;Serang;Erin Robinson;Nicole Page;Buah Batu No.986, RT 10/RW 1;Sunny;pick up truck;Snacks;Tepat Waktu;9.0;1.2;pick up truck
dcyv640821977;Ciwidey;-7.1027234;107.4641673;Salatiga;Brian Lawson;Christopher Baker;Ciwidey No.341, RT 3/RW 2;Sunny;cargo truck;Toys;Terlambat;10.0;9.6;van
mleb942163074;Kebon Kawung;-6.9123708;107.6016929;Banda Aceh;Juan Jennings;Shelby Hensley;Dago No.28, RT 1/RW 5;Sunny;pick up truck;Electronics;Lebih Cepat Sampai;3.0;14.0;cargo truck
tfpw264934804;Buah Batu;-6.9658122;107.637866;Semarang;Jessica Lee;Sharon Herrera;Buah Batu No.578, RT 7/RW 2;Sunny;pick up truck;Electronics;Terlambat;1.0;14.6;cargo truck
hdce688458513;Kebon Kawung;-6.9123708;107.6016929;Sorong;Travis Mitchell;Deborah Gray;Riau No.571, RT 3/RW 1;Sunny;pick up truck;Snacks;Tepat Waktu;8.0;7.3;van
bnva693926602;Buah Batu;-6.9658122;107.637866;Sawahlunto;Daniel Khan;Valerie Lopez;Cihampelas No.670, RT 7/RW 8;Sunny;pick up truck;Books;Terlambat;5.0;2.8;pick up truck
uxnt196160734;Ciwidey;-7.1027234;107.4641673;South Tangerang;Albert Wells;Peter Johnson;Lembong No.644, RT 4/RW 8;Sunny;cargo truck;Toys;Terlambat;9.0;11.8;cargo truck
cmiy697846170;Dago;-6.8750079;107.6159521;Ambon;Clifford Marshall;Robin Joyce;Riau No.472, RT 1/RW 2;Sunny;cargo truck;Sports;Tepat Waktu;4.0;4.3;pick up truck
drgh498946193;Pasir Kaliki;-6.9162852;107.5981344;Pontianak;Vicki Hopkins;Christopher Hill;Pasir Kaliki No.895, RT 10/RW 1;Sunny;pick up truck;Shoes;Terlambat;7.0;13.2;cargo truck
cynm740325829;Setiabudi;-6.8689938;107.5934024;Malang;John Becker;Melissa Griffith;Kebon Kawung No.15, RT 5/RW 3;Sunny;pick up truck;Toys;Terlambat;2.0;14.6;cargo truck
tuta922105802;Ciwidey;-7.1027234;107.4641673;Surabaya;Anna Rivera;Tonya Carr;Setiabudi No.163, RT 5/RW 7;Sunny;cargo truck;Shoes;Terlambat;5.0;1.8;pick up truck
koix478559898;Riau;-6.9059201;107.6209624;Metro;Sandra Osborne;Timothy Meyer;Kebon Kawung No.276, RT 1/RW 1;Sunny;cargo truck;Toys;Terlambat;7.0;5.2;van
eftv183377462;Cihampelas;-6.8989124;107.6043304;Salatiga;Javier Ballard;James Wood;Kebon Kawung No.272, RT 8/RW 7;Sunny;cargo truck;Shoes;Lebih Cepat Sampai;8.0;2.0;pick up truck
clhu804165445;Buah Batu;-6.9658122;107.637866;Kendal;Lauren Gonzalez;Susan Turner;Riau No.134, RT 6/RW 7;Sunny;cargo truck;Books;Tepat Waktu;8.0;4.3;pick up truck
wqbn742164110;Ciwidey;-7.1027234;107.4641673;Solok;Christopher Diaz;Victor Hartman;Jalan Braga No.153, RT 5/RW 7;Sunny;pick up truck;Toys;Terlambat;8.0;3.5;pick up truck
ybno365477309;Cihampelas;-6.8989124;107.6043304;Mojokerto;Gregory Nunez;Courtney Gray;Pasir Kaliki No.502, RT 9/RW 10;Sunny;cargo truck;Shoes;Terlambat;9.0;4.6;pick up truck
nzzf451013056;Buah Batu;-6.9658122;107.637866;Solo;Nicole Thompson;Ray Hernandez;Kebon Kawung No.848, RT 2/RW 7;Sunny;pick up truck;Snacks;Terlambat;5.0;3.7;pick up truck
kmtr436001502;Cihampelas;-6.8989124;107.6043304;Ternate;Priscilla Holmes;Aaron Krause;Buah Batu No.326, RT 6/RW 9;Sunny;pick up truck;Clothing;Terlambat;2.0;2.6;pick up truck
wphi807993068;Lembong;-6.9165602;107.610072;Makassar;Connie Wiley;Scott Serrano;Cihampelas No.674, RT 3/RW 2;Sunny;pick up truck;Books;Lebih Cepat Sampai;8.0;12.5;cargo truck
ufae289501860;Riau;-6.9059201;107.6209624;Sorong;John Jenkins;Shelly Kennedy;Setiabudi No.755, RT 2/RW 3;Sunny;pick up truck;Shoes;Lebih Cepat Sampai;8.0;7.4;van
ymng798718313;Ciwidey;-7.1027234;107.4641673;Salatiga;Joseph Campbell;Marvin West;Pasir Kaliki No.941, RT 6/RW 2;Sunny;cargo truck;Home;Tepat Waktu;2.0;3.8;pick up truck
yrih838332088;Jalan Braga;-6.9168925;107.6091723;Padang;Heather Hopkins;Heather Jordan;Ciwidey No.318, RT 7/RW 8;Sunny;pick up truck;Cosmetics;Tepat Waktu;8.0;1.5;pick up truck
enwc770077643;Ciwidey;-7.1027234;107.4641673;Banjarbaru;Carrie Garcia;Catherine Richardson;Dago No.555, RT 3/RW 9;Sunny;pick up truck;Sports;Terlambat;6.0;1.5;pick up truck
gonx442529661;Kebon Kawung;-6.9123708;107.6016929;Kupang;Brent Greer;Hannah Mcdowell;Dago No.707, RT 8/RW 1;Sunny;pick up truck;Electronics;Lebih Cepat Sampai;2.0;11.4;cargo truck
gedp538037050;Kebon Kawung;-6.9123708;107.6016929;Bandung;Mrs. Ariel Perkins;Crystal Taylor;Lembong No.394, RT 9/RW 9;Sunny;pick up truck;Grocery;Terlambat;7.0;8.7;van
akoz380684866;Setiabudi;-6.8689938;107.5934024;Bali (Denpasar);Carla Bailey;Breanna Hicks;Lembong No.481, RT 1/RW 2;Sunny;cargo truck;Clothing;Tepat Waktu;1.0;6.7;van
uzkz304464726;Kebon Kawung;-6.9123708;107.6016929;Jambi;Dana Fisher;Colleen Merritt;Setiabudi No.953, RT 2/RW 6;Sunny;cargo truck;Home;Tepat Waktu;3.0;9.6;van
ufyn357564233;Kebon Kawung;-6.9123708;107.6016929;Cilegon;Anna Williams;Robert Smith;Kebon Kawung No.68, RT 1/RW 10;Sunny;pick up truck;Clothing;Terlambat;4.0;5.3;van
pxvb549205039;Kebon Kawung;-6.9123708;107.6016929;Cimahi;Casey Jones DVM;Donna Jenkins;Riau No.924, RT 10/RW 1;Sunny;pick up truck;Electronics;Terlambat;1.0;14.2;cargo truck
oecn886699205;Jalan Braga;-6.9168925;107.6091723;Depok;Cathy Clark;Tami Morgan;Pasir Kaliki No.673, RT 8/RW 4;Sunny;cargo truck;Books;Tepat Waktu;9.0;3.1;pick up truck
kxsb919855631;Dago;-6.8750079;107.6159521;Banda Aceh;Tim Rowe;Kimberly Santiago;Buah Batu No.527, RT 3/RW 1;Sunny;cargo truck;Shoes;Lebih Cepat Sampai;10.0;4.9;pick up truck
qhkg170565051;Pasir Kaliki;-6.9162852;107.5981344;Pematang Siantar;Sarah Mann;Mason Walker;Kebon Kawung No.467, RT 9/RW 10;Sunny;pick up truck;Electronics;Tepat Waktu;3.0;5.7;van
hgxd621773551;Setiabudi;-6.8689938;107.5934024;Gresik;Robert Schmidt;Robert Wilson;Setiabudi No.16, RT 7/RW 8;Sunny;pick up truck;Home;Tepat Waktu;3.0;1.1;pick up truck
rqtl469649268;Ciwidey;-7.1027234;107.4641673;Manado;Courtney Miller;Joshua Boyd;Dago No.787, RT 6/RW 1;Sunny;pick up truck;Electronics;Tepat Waktu;1.0;12.3;cargo truck
xekn033657822;Cihampelas;-6.8989124;107.6043304;Tebing Tinggi;Christopher Irwin;Rhonda Oconnell;Riau No.634, RT 4/RW 2;Sunny;pick up truck;Toys;Lebih Cepat Sampai;1.0;7.6;van
jppa472683579;Lembong;-6.9165602;107.610072;Tanjung Pinang;Randy Rollins;Eric Anthony;Setiabudi No.622, RT 5/RW 9;Sunny;cargo truck;Shoes;Terlambat;9.0;7.7;van
hhqz133129850;Pasir Kaliki;-6.9162852;107.5981344;Solok;Larry Mueller;Robert Hatfield;Setiabudi No.78, RT 2/RW 6;Sunny;cargo truck;Books;Lebih Cepat Sampai;9.0;9.0;van
twvb324939360;Pasir Kaliki;-6.9162852;107.5981344;Manado;Patricia Cole;Jeffery Franco;Ciwidey No.274, RT 9/RW 3;Sunny;pick up truck;Cosmetics;Tepat Waktu;9.0;1.5;pick up truck
mrdg183916741;Pasir Kaliki;-6.9162852;107.5981344;Tanjung Pinang;Kevin Callahan;Shannon Butler;Dago No.800, RT 2/RW 6;Sunny;cargo truck;Books;Tepat Waktu;10.0;4.3;pick up truck
wxpi352725051;Dago;-6.8750079;107.6159521;Pontianak;Aaron Garcia;Melissa Mcpherson;Kebon Kawung No.399, RT 8/RW 1;Sunny;cargo truck;Books;Terlambat;8.0;5.3;van
eleu714010991;Dago;-6.8750079;107.6159521;Metro;Joshua Jackson;Danny Thornton;Buah Batu No.524, RT 5/RW 7;Sunny;pick up truck;Snacks;Terlambat;10.0;9.4;van
hgnv075721858;Jalan Braga;-6.9168925;107.6091723;Cilegon;Daniel Boyd;Brian Smith;Buah Batu No.680, RT 10/RW 5;Sunny;pick up truck;Electronics;Lebih Cepat Sampai;3.0;8.7;van
zjgh066097748;Ciwidey;-7.1027234;107.4641673;Gresik;Tina Delgado;Shelly White;Kebon Kawung No.203, RT 4/RW 6;Sunny;van;Electronics;Tepat Waktu;2.0;10.9;cargo truck
nbdt525518092;Kebon Kawung;-6.9123708;107.6016929;Samarinda;Danielle Hernandez;Teresa Martin;Lembong No.758, RT 5/RW 8;Sunny;cargo truck;Sports;Terlambat;10.0;9.8;van
dmlb392137609;Jalan Braga;-6.9168925;107.6091723;Yogyakarta;Lisa Martinez;Danielle Stevens;Setiabudi No.454, RT 1/RW 3;Sunny;pick up truck;Cosmetics;Lebih Cepat Sampai;8.0;4.7;pick up truck
utvc306138563;Setiabudi;-6.8689938;107.5934024;Palu;Victor Gonzalez;Jennifer Riggs;Riau No.14, RT 5/RW 2;Sunny;pick up truck;Clothing;Lebih Cepat Sampai;9.0;13.8;cargo truck
tnju042895757;Dago;-6.8750079;107.6159521;Jayapura;Deborah Wright;Christopher Hayes;Kebon Kawung No.901, RT 10/RW 8;Sunny;van;Books;Terlambat;9.0;10.3;cargo truck
tbvc207410371;Kebon Kawung;-6.9123708;107.6016929;Padang;Allen Blanchard;Jamie Lewis;Buah Batu No.840, RT 5/RW 2;Sunny;pick up truck;Books;Lebih Cepat Sampai;10.0;14.8;cargo truck
